Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,Review,Positive,Neutral,Negative,Compound,Sentiment
ID1167,Joe,2021-01-21,16:46:34,Contract related,Y,Y,22.0,00:06:58,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1168,Dan,2021-01-21,16:46:34,Contract related,Y,Y,115.0,00:01:25,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID1169,Dan,2021-01-21,17:11:02,Technical Support,Y,Y,125.0,00:04:37,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1170,Martha,2021-01-21,17:11:02,Payment related,Y,Y,68.0,00:05:06,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1171,Jim,2021-01-21,17:26:53,Technical Support,Y,Y,44.0,00:01:16,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1172,Becky,2021-01-21,17:26:53,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1173,Stewart,2021-01-21,17:26:53,Streaming,Y,Y,119.0,00:00:42,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1174,Martha,2021-01-21,17:26:53,Streaming,Y,Y,62.0,00:00:54,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1175,Greg,2021-01-21,17:26:53,Streaming,Y,Y,84.0,00:06:04,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1176,Martha,2021-01-21,17:26:53,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1177,Greg,2021-01-21,17:36:58,Streaming,Y,Y,75.0,00:06:28,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1178,Martha,2021-01-21,17:36:58,Payment related,Y,Y,114.0,00:02:54,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1179,Dan,2021-01-21,17:38:24,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1180,Stewart,2021-01-21,17:38:24,Admin Support,Y,Y,21.0,00:02:10,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1181,Stewart,2021-01-22,09:11:31,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1182,Diane,2021-01-22,09:11:31,Admin Support,Y,Y,20.0,00:01:08,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1183,Diane,2021-01-22,09:11:31,Technical Support,Y,Y,112.0,00:03:37,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID1184,Becky,2021-01-22,09:11:31,Streaming,Y,Y,85.0,00:05:24,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1185,Martha,2021-01-22,09:24:29,Admin Support,Y,Y,34.0,00:06:07,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1186,Diane,2021-01-22,09:24:29,Streaming,Y,Y,53.0,00:05:02,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1187,Martha,2021-01-22,09:48:58,Streaming,Y,Y,103.0,00:02:14,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1188,Becky,2021-01-22,09:48:58,Contract related,Y,Y,98.0,00:06:53,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1189,Becky,2021-01-22,09:59:02,Technical Support,Y,Y,23.0,00:04:44,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID1190,Martha,2021-01-22,09:59:02,Admin Support,Y,Y,53.0,00:01:17,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID1191,Becky,2021-01-22,10:37:55,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1192,Diane,2021-01-22,10:37:55,Contract related,Y,N,55.0,00:04:40,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1193,Martha,2021-01-22,11:39:50,Admin Support,Y,Y,77.0,00:05:02,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1194,Becky,2021-01-22,11:39:50,Technical Support,Y,Y,46.0,00:06:05,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1195,Greg,2021-01-22,11:42:43,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1196,Martha,2021-01-22,11:42:43,Payment related,Y,Y,39.0,00:05:05,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1197,Greg,2021-01-22,11:55:41,Payment related,Y,Y,13.0,00:07:00,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1198,Jim,2021-01-22,11:55:41,Admin Support,Y,Y,84.0,00:05:34,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1199,Dan,2021-01-22,11:55:41,Admin Support,Y,Y,60.0,00:04:46,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1200,Dan,2021-01-22,11:55:41,Admin Support,Y,Y,32.0,00:00:35,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1201,Stewart,2021-01-22,12:47:31,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1202,Greg,2021-01-22,12:47:31,Contract related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1203,Joe,2021-01-22,14:19:41,Admin Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1204,Dan,2021-01-22,14:19:41,Payment related,Y,Y,67.0,00:06:42,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1205,Stewart,2021-01-22,14:22:34,Streaming,Y,N,94.0,00:03:58,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1206,Stewart,2021-01-22,14:22:34,Streaming,Y,Y,92.0,00:06:10,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID1207,Becky,2021-01-22,14:44:10,Streaming,Y,Y,35.0,00:01:10,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1208,Diane,2021-01-22,14:44:10,Admin Support,Y,Y,57.0,00:01:21,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1209,Stewart,2021-01-22,14:48:29,Streaming,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1210,Jim,2021-01-22,14:48:29,Admin Support,Y,Y,15.0,00:04:55,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1211,Becky,2021-01-22,14:49:55,Admin Support,Y,N,54.0,00:03:15,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1212,Greg,2021-01-22,14:49:55,Payment related,Y,Y,99.0,00:01:00,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID1213,Martha,2021-01-22,15:30:14,Contract related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1214,Jim,2021-01-22,15:30:14,Streaming,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1215,Martha,2021-01-22,15:56:10,Streaming,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1216,Martha,2021-01-22,15:56:10,Admin Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1217,Martha,2021-01-22,16:01:55,Payment related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1218,Becky,2021-01-22,16:01:55,Streaming,Y,Y,78.0,00:01:05,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1219,Greg,2021-01-22,16:39:22,Admin Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1220,Jim,2021-01-22,16:39:22,Payment related,Y,N,35.0,00:05:09,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1221,Becky,2021-01-22,16:50:53,Contract related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1222,Stewart,2021-01-22,16:50:53,Contract related,Y,Y,33.0,00:06:09,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1223,Greg,2021-01-22,16:56:38,Streaming,Y,Y,72.0,00:04:09,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1224,Joe,2021-01-22,16:56:38,Technical Support,Y,N,82.0,00:05:02,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID1225,Greg,2021-01-22,17:25:26,Admin Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1226,Greg,2021-01-22,17:25:26,Payment related,Y,Y,115.0,00:04:12,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1227,Diane,2021-01-22,17:38:24,Streaming,Y,Y,64.0,00:01:42,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1228,Martha,2021-01-22,17:38:24,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1229,Jim,2021-01-22,17:47:02,Payment related,Y,Y,71.0,00:04:01,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID1230,Becky,2021-01-22,17:47:02,Streaming,Y,N,50.0,00:05:08,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1231,Greg,2021-01-23,09:31:41,Streaming,Y,Y,116.0,00:01:13,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID1232,Martha,2021-01-23,09:31:41,Admin Support,Y,Y,52.0,00:01:27,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1233,Greg,2021-01-23,09:40:19,Technical Support,Y,Y,112.0,00:03:37,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1234,Stewart,2021-01-23,09:40:19,Admin Support,Y,Y,116.0,00:02:42,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1235,Becky,2021-01-23,09:51:50,Payment related,Y,N,112.0,00:06:18,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID1236,Dan,2021-01-23,09:51:50,Streaming,Y,Y,53.0,00:05:46,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1237,Diane,2021-01-23,09:57:36,Admin Support,Y,Y,12.0,00:05:31,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1238,Joe,2021-01-23,09:57:36,Technical Support,Y,N,120.0,00:00:54,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1239,Diane,2021-01-23,10:49:26,Admin Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1240,Dan,2021-01-23,10:49:26,Technical Support,Y,Y,118.0,00:02:49,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1241,Jim,2021-01-23,11:00:58,Contract related,Y,Y,121.0,00:02:49,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID1242,Martha,2021-01-23,11:00:58,Streaming,Y,Y,83.0,00:06:48,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1243,Joe,2021-01-23,11:18:14,Streaming,Y,Y,84.0,00:01:21,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1244,Becky,2021-01-23,11:18:14,Payment related,Y,N,63.0,00:05:00,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1245,Jim,2021-01-23,11:29:46,Technical Support,Y,Y,33.0,00:03:29,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1246,Dan,2021-01-23,11:29:46,Contract related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1247,Greg,2021-01-23,11:32:38,Admin Support,Y,N,10.0,00:01:01,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1248,Joe,2021-01-23,11:32:38,Admin Support,Y,Y,100.0,00:00:42,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1249,Diane,2021-01-23,11:35:31,Contract related,Y,Y,110.0,00:05:03,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1250,Stewart,2021-01-23,11:35:31,Payment related,Y,Y,28.0,00:05:16,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID1251,Joe,2021-01-23,11:36:58,Admin Support,Y,Y,74.0,00:01:15,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1252,Jim,2021-01-23,11:36:58,Admin Support,Y,Y,18.0,00:01:21,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1253,Becky,2021-01-23,11:44:10,Streaming,Y,Y,22.0,00:06:12,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1254,Diane,2021-01-23,11:44:10,Streaming,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1255,Martha,2021-01-23,11:55:41,Contract related,Y,Y,15.0,00:03:37,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1256,Martha,2021-01-23,11:55:41,Admin Support,Y,Y,120.0,00:04:12,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID1257,Martha,2021-01-23,12:14:24,Contract related,Y,Y,26.0,00:03:47,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1258,Diane,2021-01-23,12:14:24,Payment related,Y,Y,33.0,00:01:44,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1259,Dan,2021-01-23,12:43:12,Streaming,Y,Y,18.0,00:01:14,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1260,Greg,2021-01-23,12:43:12,Payment related,Y,Y,29.0,00:05:55,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1261,Greg,2021-01-23,12:54:43,Payment related,Y,Y,89.0,00:01:34,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID1262,Martha,2021-01-23,12:54:43,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1263,Diane,2021-01-23,13:33:36,Admin Support,Y,Y,44.0,00:03:12,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1264,Diane,2021-01-23,13:33:36,Contract related,Y,N,62.0,00:03:33,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1265,Dan,2021-01-23,13:37:55,Admin Support,Y,Y,29.0,00:01:50,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1266,Joe,2021-01-23,13:37:55,Admin Support,Y,Y,10.0,00:06:42,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1267,Dan,2021-01-23,14:13:55,Payment related,Y,Y,75.0,00:02:00,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1268,Martha,2021-01-23,14:13:55,Streaming,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1269,Dan,2021-01-23,14:52:48,Technical Support,Y,Y,33.0,00:01:06,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1270,Becky,2021-01-23,14:52:48,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1271,Becky,2021-01-23,16:01:55,Payment related,Y,N,56.0,00:01:58,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1272,Martha,2021-01-23,16:01:55,Admin Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1273,Stewart,2021-01-23,16:13:26,Contract related,Y,N,31.0,00:00:31,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1274,Greg,2021-01-23,16:13:26,Streaming,Y,Y,56.0,00:01:20,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID1275,Jim,2021-01-23,16:37:55,Payment related,Y,Y,53.0,00:01:43,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1276,Diane,2021-01-23,16:37:55,Technical Support,Y,Y,12.0,00:05:48,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1277,Stewart,2021-01-23,16:45:07,Streaming,Y,Y,53.0,00:06:03,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1278,Diane,2021-01-23,16:45:07,Streaming,Y,Y,116.0,00:04:58,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1279,Joe,2021-01-23,17:24:00,Payment related,Y,Y,19.0,00:01:11,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1280,Dan,2021-01-23,17:24:00,Contract related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1281,Joe,2021-01-23,17:41:17,Streaming,Y,Y,74.0,00:05:54,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID1282,Greg,2021-01-23,17:41:17,Streaming,Y,Y,85.0,00:02:44,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1283,Greg,2021-01-23,17:44:10,Contract related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1284,Stewart,2021-01-23,17:44:10,Payment related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1285,Dan,2021-01-24,09:05:46,Payment related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1286,Diane,2021-01-24,09:05:46,Streaming,Y,Y,48.0,00:06:36,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID1287,Joe,2021-01-24,09:05:46,Payment related,Y,Y,57.0,00:04:32,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1288,Jim,2021-01-24,09:05:46,Admin Support,Y,N,116.0,00:05:09,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1289,Greg,2021-01-24,09:12:58,Admin Support,Y,Y,21.0,00:00:50,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID1290,Martha,2021-01-24,09:12:58,Contract related,Y,Y,87.0,00:02:11,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1291,Joe,2021-01-24,09:20:10,Technical Support,Y,Y,42.0,00:03:56,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1292,Greg,2021-01-24,09:20:10,Technical Support,Y,Y,86.0,00:01:28,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID1293,Joe,2021-01-24,09:24:29,Payment related,Y,Y,95.0,00:03:05,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1294,Joe,2021-01-24,09:24:29,Contract related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1295,Jim,2021-01-24,09:54:43,Technical Support,Y,Y,109.0,00:05:47,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1296,Greg,2021-01-24,09:54:43,Payment related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1297,Greg,2021-01-24,10:03:22,Admin Support,Y,Y,104.0,00:05:35,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID1298,Martha,2021-01-24,10:03:22,Payment related,Y,Y,123.0,00:01:55,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID1299,Martha,2021-01-24,10:04:48,Streaming,Y,Y,72.0,00:05:11,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1300,Jim,2021-01-24,10:04:48,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1301,Stewart,2021-01-24,10:04:48,Contract related,Y,N,28.0,00:00:52,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1302,Dan,2021-01-24,10:04:48,Streaming,Y,Y,124.0,00:03:13,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1303,Jim,2021-01-24,10:29:17,Payment related,Y,Y,16.0,00:04:35,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1304,Martha,2021-01-24,10:29:17,Admin Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1305,Joe,2021-01-24,10:32:10,Admin Support,Y,Y,125.0,00:00:31,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1306,Becky,2021-01-24,10:32:10,Contract related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID1307,Dan,2021-01-24,11:11:02,Contract related,Y,Y,61.0,00:03:05,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1308,Diane,2021-01-24,11:11:02,Streaming,Y,Y,55.0,00:06:30,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID1309,Becky,2021-01-24,11:42:43,Technical Support,Y,Y,41.0,00:03:54,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1310,Greg,2021-01-24,11:42:43,Contract related,Y,Y,81.0,00:06:19,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1311,Stewart,2021-01-24,12:21:36,Contract related,Y,Y,112.0,00:03:43,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1312,Diane,2021-01-24,12:21:36,Streaming,Y,Y,58.0,00:04:19,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1313,Jim,2021-01-24,12:25:55,Streaming,Y,N,61.0,00:00:42,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1314,Becky,2021-01-24,12:25:55,Payment related,Y,Y,51.0,00:06:44,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1315,Jim,2021-01-24,13:00:29,Streaming,Y,Y,102.0,00:03:59,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1316,Joe,2021-01-24,13:00:29,Payment related,Y,Y,19.0,00:05:43,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID1317,Dan,2021-01-24,13:13:26,Streaming,Y,Y,33.0,00:03:06,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID1318,Joe,2021-01-24,13:13:26,Technical Support,Y,Y,113.0,00:06:04,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1319,Diane,2021-01-24,14:15:22,Technical Support,Y,Y,28.0,00:03:50,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID1320,Dan,2021-01-24,14:15:22,Technical Support,Y,Y,46.0,00:04:43,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID1321,Joe,2021-01-24,14:45:36,Technical Support,Y,Y,76.0,00:01:09,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID1322,Diane,2021-01-24,14:45:36,Technical Support,Y,Y,124.0,00:03:09,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
